HGNC symbol,Chromosome Name,Gene Start (bp),Gene End (bp)
FAM89B,11,65339820,65341669
ADAM15,1,155023042,155035252
ITPK1,14,93403259,93582665
TSPAN19,12,85408094,85430055
RASA3,13,114747194,114898086
CD6,11,60739115,60787849
GNL1,HSCHR6_MHC_SSTO,30500573,30516426
KRT8P44,6,162989411,162990760
MCOLN1,19,7587512,7598895
EHBP1L1,11,65343509,65360121
VASN,16,4421849,4433529
DNAJA3,16,4475806,4506776
SERPINB11,18,61314813,61391127
MLH1,3,37034823,37107380
MAPRE1,20,31407699,31438211
TMEM8B,9,35814448,35854844
HLA-N,HSCHR6_MHC_APD,30327431,30327565
HCG19P,HSCHR6_MHC_APD,30335294,30335927
UBQLN1P1,HSCHR6_MHC_APD,30339126,30340294
TFB1M,6,155578643,155635627
MICC,HSCHR6_MHC_APD,30390730,30395334
SERPINB3,18,61322431,61329197
RPL7P4,HSCHR6_MHC_APD,30672830,30673559
MDC1-AS1,HSCHR6_MHC_APD,30679091,30689207
HCG22,HSCHR6_MHC_APD,31033296,31038966
GEMIN6,2,38978676,39009598
PPIAP9,HSCHR6_MHC_APD,31498549,31499360
LRRIQ1,12,85430092,85657002
PGAM1P12,15,96984796,96985543
SLC7A11-AS1,4,138978618,139099331
LZTS2,10,102756375,102767593
FAM149B1P1,15,97300217,97301826
DROSHA,5,31400604,31532303
CDC16,13,115000362,115038198
BAG6,HSCHR6_MHC_DBB,31588979,31602664
LINC00498,4,139220010,139233812
LINC00499,4,139230865,139345498
NINJ2,12,673462,772945
LRBA,4,151185594,151936879
PDZD7,10,102767567,102790890
C10orf112,10,19492779,20079330
LINC00473,6,166322290,166401536
GAPDHP72,6,166477779,166478788
GNG5P1,6,166653778,166653981
CLDN20,6,155585147,155597682
TAF11,6,34845555,34855866
RPS6KA2-IT1,6,166874151,166878871
OS9,12,58087738,58115340
FAM103A2P,6,166999612,166999965
EFCAB8,20,31446729,31549006
KCNK7,11,65360326,65363467
LINC00500,4,139346677,139358023
ASPSCR1,17,79934683,79975282
RFPL1,22,29834572,29838444
NEFH,22,29876219,29887379
RPS6KA2-AS1,6,167317186,167318323
WNK1,12,861759,1020618
CDCA7L,7,21940518,21985702
THOC5,22,29901868,29951205
MLLT4-AS1,6,168224556,168227466
VAX1,10,118888032,118897812
DHX57,2,39024871,39103075
MAP3K11,11,65365226,65382853
UBD,HSCHR6_MHC_COX,29519995,29524308
IER3,6,30710976,30712331
RPL15P4,HSCHR6_MHC_APD,31507182,31507761
ICAM3,19,10444452,10450499
UQCRHP1,HSCHR6_MHC_APD,31590211,31590484
SAPCD1-AS1,HSCHR6_MHC_APD,31743441,31744719
ALX1,12,85673885,85695562
OR2H2,HSCHR6_MHC_COX,29552288,29553350
SUN5,20,31571579,31592239
HNRNPA1P2,HSCHR6_MHC_APD,32304328,32305287
STRA13,17,79976578,79981983
KIF25-AS1,6,168393502,168397757
MOAP1,14,93648541,93651273
NOX3,6,155716504,155777037
FLOT1,HSCHR6_MHC_MANN,30740183,30755207
FAM221B,9,35816388,35828744
ANKS1A,6,34857042,35059179
RASSF9,12,86198331,86230348
NOC4L,12,132628993,132637013
CD5,11,60869867,60895324
NTS,12,86268073,86276767
SERPINB7,18,61420169,61472604
LRRC45,17,79981178,79989027
SFXN3,10,102790991,102800998
CTAGE13P,6,168687585,168690030
MED17,11,93517393,93547861
PPP1R14BP3,4,140036084,140036528
KCNK18,10,118957000,118969810
DDR1,6,30844198,30867933
FTH1P24,4,140467505,140467889
GALNT9,12,132680924,132905935
H3F3AP6,4,140619298,140619708
MGAT4C,12,86372516,86889092
BPIFB2,20,31595406,31611515
PLXDC2,10,20105168,20569286
RAC3,17,79989500,79992080
MOG,HSCHR6_MHC_COX,29621355,29636747
SERPINB2,18,61538926,61571124
ARID1B,6,157099063,157530401
SLC18A2,10,119000604,119038941
DCXR,17,79993012,79995608
TNRC18P1,4,141562994,141566643
TTC12,11,113185251,113254266
PNPLA6,19,7598890,7626650
OR13J1,9,35869375,35870461
HRCT1,9,35906189,35907138
BPIFB6,20,31619454,31631853
OR2S2,9,35957105,35958151
RECK,9,36036430,36124448
TCP11,6,35085848,35116387
NIPSNAP1,22,29950797,29977326
VPS37C,11,60897728,60929089
HCG23,HSCHR6_MHC_APD,32369260,32372436
HLA-DRB9,HSCHR6_MHC_APD,32438582,32452263
BPIFB3,20,31643230,31661434
EFNA4,1,155036207,155042029
PRR3,HSCHR6_MHC_MCF,30603120,30609957
LINC00242,6,170188886,170198921
PGA3,11,60970779,60980570
C12orf50,12,88373816,88427814
UPF3A,13,115047059,115071283
EFNA3,1,155036224,155060014
EFNA1,1,155099936,155107333
HLA-DQB3,HSCHR6_MHC_APD,32683098,32684035
PCNXL3,11,65383244,65404910
TYK2,19,10461209,10491352
PRR3,HSCHR6_MHC_SSTO,30516081,30522918
KAZALD1,10,102821598,102827888
BPIFB4,20,31667450,31699557
RFNG,17,80005778,80009707
LINC00574,6,170190417,170202969
TLX1,10,102889257,102897545
ORAI1,12,122064455,122080583
PPP1R2P1,HSCHR6_MHC_APD,32830521,32831197
ZFP57,HSCHR6_MHC_QBL,29640092,29648802
NF2,22,29999545,30094587
MORN3,12,122089024,122110537
OR4F7P,6,170948694,170949631
PGA4,11,60989688,61018929
HLA-Z,HSCHR6_MHC_APD,32847757,32847831
RPL32P1,HSCHR6_MHC_APD,33030638,33031047
HLA-DPA2,HSCHR6_MHC_APD,33042924,33048466
C12orf29,12,88427623,88443937
ABCF1,HSCHR6_MHC_MCF,30617610,30643414
MORN2,2,39103103,39156213
SLC50A1,1,155107820,155111329
RPL5P13,4,143208070,143208778
LSM3P4,4,143238391,143238699
RAPGEF5,7,22157909,22396763
APOBR,16,28505970,28510291
TMEM251,14,93651296,93653434
SLC29A4,7,5314000,5343696
PDZD8,10,119040000,119134978
TMEM242,6,157712662,157744633
HSP90B2P,15,99797837,99800220
IL27,16,28510683,28523372
LBX1,10,102986733,102989551
SIPA1,11,65405568,65418401
GPS1,17,80008567,80015346
BTRC,10,103113820,103317078
SMARCA5-AS1,4,144434625,144435788
C14orf142,14,93669239,93673439
NEBL,10,21068902,21463116
RPL7P5,15,100091587,100092322
DNM1P46,15,100330361,100347132
C6,5,41142336,41261540
VSTM5,11,93551398,93583697
TMEM120B,12,122150658,122220907
UBR7,14,93673401,93695561
COL11A2P,HSCHR6_MHC_APD,33054938,33058474
GLIPR2,9,36136730,36163910
HLA-F,HSCHR6_MHC_QBL,29688014,29703770
ZDHHC14,6,157802165,158099178
EMX2,10,119301955,119309441
HEPHL1,11,93754527,93846917
FBRSL1,12,133066137,133161774
BPIFA2,20,31749574,31769218
CEP290,12,88442794,88535993
NMRAL1,16,4511681,4545764
ARHGEF33,2,39117021,39202590
NUPR1,16,28548606,28550495
SERPINB10,18,61564408,61603345
AGAP2,12,58118981,58135940
GUSBP5,4,144480625,144570458
CLHC1,2,55401927,55459699
HLA-DPB2,HSCHR6_MHC_APD,33063595,33085812
DPM3,1,155112367,155113071
PANX1,11,93862094,93915138
BPIFA3,20,31805116,31815564
HLA-DPA3,HSCHR6_MHC_APD,33082356,33082482
LYPLA2P1,HSCHR6_MHC_APD,33316721,33317416
CCDC101,16,28565236,28603111
KRTCAP2,1,155141884,155159747
ABCF1,HSCHR6_MHC_SSTO,30530573,30556377
RHOF,12,122215664,122232261
CHAMP1,13,115079988,115092796
PRKXP1,15,101093734,101099159
HMSD,18,61616535,61649008
FOLR4,11,94038759,94040887
TRIM46,1,155145873,155157447
OR13F1,9,107266455,107267547
PGA5,11,61008514,61018920
OR13C4,9,107288534,107289490
RAB11FIP2,10,119764427,119806114
ZNF962P,13,19041312,19059588
BTBD7,14,93703896,93799438
STEAP1B,7,22459063,22672544
LINC00349,13,19114637,19124837
TNRC18,7,5346421,5465045
RAD52,12,1021243,1100356
SERPINB8,18,61637159,61672278
RELA,11,65421067,65430565
OR13C3,9,107298030,107299137
OR13C8,9,107331449,107332411
OR13C5,9,107360650,107361788
PLCXD3,5,41307056,41510730
OR13C2,9,107366924,107367951
SNX9,6,158244281,158366109
P2RX2,12,133195366,133198972
LONRF2P2,13,19183272,19183842
LINC00388,13,19184438,19185815
DUS1L,17,80015382,80023763
IER3,HSCHR6_MHC_MANN,30755673,30757028
BPIFA1,20,31823801,31831115
SOS1,2,39208537,39351486
HMOX2,16,4524691,4560348
DDR1,HSCHR6_MHC_MANN,30893440,30912617
DPCD,10,103330317,103369425
FEM1AP4,13,19239375,19241361
LINC00387,13,19246967,19250303
TERF1P5,13,19254634,19255846
SULT1A2,16,28603264,28608430
FAM207BP,13,19271143,19271647
CCIN,9,36169389,36171329
GXYLT1P1,13,19298711,19299527
CNN2P12,13,19300846,19301554
ZNF965P,13,19308220,19309036
CLTA,9,36190853,36304778
LINC00417,13,19312245,19317477
CYP4F34P,13,19315870,19316858
IL6,7,22765503,22771621
BPIFB1,20,31861286,31897684
KRT18P51,4,145493390,145494131
PDGFA,7,536895,559933
HHIP-AS1,4,145564074,145582509
GPR83,11,94110477,94134585
HSPD1P5,4,145766777,145768496
MUC1,1,155158300,155162707
RTN3P1,4,146296693,146297405
UNC79,14,93799565,94174222
OR13C9,9,107379529,107380485
C5orf22,5,31532373,31555165
SNX18P26,13,19381419,19382158
OXCT1,5,41730167,41870621
FAM204A,10,120065401,120101840
LINC00328-2P,13,19383970,19384188
ANKRD20A9P,13,19390858,19446107
TSPAN31,12,58131796,58143994
SULT1A1,16,28616903,28634946
CDH7,18,63417488,63548638
RHOT1P3,13,19411908,19412238
SNX19P2,13,19466400,19469370
VWCE,11,61025762,61062896
PHF2P2,13,19520895,19636858
CRK,17,1323983,1366456
SETD1B,12,122242086,122270562
CDH19,18,64168320,64271375
OR13D1,9,107456660,107457766
NIPSNAP3A,9,107509969,107522403
TMTC3,12,88536073,88593664
OR4F14P,15,102368944,102369882
OR4F13P,15,102382322,102390527
MRE11A,11,94152895,94227074
HLA-G,HSCHR6_MHC_QBL,29791932,29796106
WBP1LP5,15,102427557,102427970
CDC37,19,10501810,10530797
OR4G2P,15,102467008,102467910
FAM138E,15,102495096,102496113
CDK5RAP1,20,31946645,31989367
C10orf113,10,21414692,21435488
CDIP1,16,4560720,4588829
FASN,17,80036214,80056208
GTF2F2P1,4,148427243,148427917
C10orf114,10,21781587,21786191
POLL,10,103338639,103348027
KAT5,11,65479467,65487075
ZFP57,HSCHR6_MHC_COX,29636767,29645520
SKIDA1,10,21802407,21814611
ATP5LP4,4,149624678,149624984
HLA-F,HSCHR6_MHC_COX,29684537,29700280
RPS27A,2,55459039,55462989
WASH3P,15,102501356,102516768
MLLT10,10,21823094,22032559
HPD,12,122277433,122301502
TOMM7,7,22852251,22862470
THBS3,1,155165379,155178842
LINC00442,13,19582399,19589338
ANKK1,11,113258513,113271140
MAB21L2,4,151503077,151505843
USP24P1,13,19589627,19593476
GTF2IP3,13,19600138,19606766
PPP1R10,HSCHR6_MHC_MCF,30646635,30664848
DRD2,11,113280318,113346413
RPS3A,4,152020725,152025804
GNE,9,36214438,36277053
DSEL,18,65173819,65184217
CDK4,12,58142034,58149796
TMX3,18,66340925,66382535
PLSCR3,17,7293046,7307416
C16orf96,16,4606491,4650715
HLA-A,HSCHR6_MHC_QBL,29898417,29903057
LRRFIP2,3,37094117,37225180
PRLHR,10,120352916,120355160
FAM100A,16,4656111,4665028
ERC1,12,1099675,1605090
CACUL1,10,120433679,120514761
SYNJ2,6,158402888,158520208
FBXL18,7,5470966,5553429
CCDC57,17,80059336,80170706
SH3D19,4,152041431,152149182
CENPIP1,13,19700539,19713751
SMPD4P2,13,19726707,19745334
KITLG,12,88885885,88974628
APOM,HSCHR6_MHC_DBB,31602375,31608169
PDZD2,5,31639517,32111037
PSPC1P1,13,19775777,19801572
ANKRD26P3,13,19864733,19918965
CABP7,22,30116073,30127828
PPP1R10,HSCHR6_MHC_SSTO,30559598,30577810
MRPL3P1,13,19878733,19879765
ZMAT5,22,30126945,30163000
LINC00421,13,19919189,19920889
PARP4P2,13,19923277,19982102
SLC16A3,17,80186273,80219005
RNF38,9,36336393,36487545
FAM58DP,13,19956348,19957525
UQCR10,22,30163358,30166402
MARCH9,12,58148881,58154190
SLC25A15P2,13,19985371,19990328
CYCSP32,13,20032538,20032858
CYP27B1,12,58156117,58161034
C6orf47,HSCHR6_MHC_DBB,31608257,31610731
ASCC2,22,30184597,30234271
FAM126A,7,22980878,23053749
COX8C,14,93813537,93814702
GPANK1,HSCHR6_MHC_DBB,31611188,31616243
PRIMA1,14,94184644,94254827
DUSP6,12,89741050,89747048
ACTB,7,5566782,5603415
MTX1,1,155178490,155183614
DDX11L9,15,102516758,102519298
DDB1,11,61066923,61110068
FAM181A,14,94385240,94395954
NANOS1,10,120789228,120793854
MRPS18B,HSCHR6_MHC_MCF,30663945,30672631
EIF3A,10,120794356,120840396
GBA,1,155204239,155214653
MGRN1,16,4666494,4740975
MTIF2,2,55463731,55496483
ZNRD1,HSCHR6_MHC_QBL,30016279,30022269
EIF3C,16,28699879,28747051
MRPS31P2,13,20126711,20144428
ESRRAP1,13,20134153,20135409
CASC4P1,13,20137729,20139040
LINC00350,13,20161258,20162490
PSPC1-OT1,13,20248764,20250024
PSPC1-AS1,13,20252830,20253837
NIPSNAP3B,9,107526438,107539738
ST6GALNAC4P1,13,20392261,20392759
CSNK2B,HSCHR6_MHC_DBB,31615195,31620303
POC1B,12,89813495,89919801
KRR1P1,13,20644390,20646276
ZMYM2-IT1,13,20651665,20653696
PPIAP28,13,20753117,20753601
SLC35E1P1,13,21181407,21182270
RANP8,13,21321174,21322196
POLE,12,133200345,133413387
CSNK1D,17,80196899,80231607
CCDC102B,18,66382446,66722426
ASB2,14,94400499,94443137
HLA-G,HSCHR6_MHC_COX,29788431,29792600
METTL1,12,58162254,58166576
RNASEH2C,11,65482367,65488418
CNOT4P1,13,21495803,21497372
HNRNPA1P30,13,21522433,21523738
OTUB2,14,94492675,94515276
SNTA1,20,31995761,32031698
AP5B1,11,65543364,65548273
METTL21B,12,58165275,58176324
OVOL1,11,65554493,65564690
PSMD9,12,122326637,122356203
ZBTB8OSP1,4,151642133,151642630
MRPS18B,HSCHR6_MHC_SSTO,30576907,30585593
DDX24,14,94517266,94547591
AK4P6,4,151948242,151948769
PPIAP27,13,21530318,21530582
RPSAP54,13,21535449,21536334
SERAC1,6,158530536,158589312
LATS2-AS1,13,21579296,21592261
RPS12P23,13,21668457,21668853
CFL1,11,65590493,65629497
SCUBE3,6,35182190,35220856
PLCXD1,X,192989,220023
FAM189B,1,155216996,155225274
ATAT1,HSCHR6_MHC_MCF,30673078,30693061
CAMSAP3,19,7660788,7683190
PRSS48,4,152198323,152212605
MELK,9,36572859,36677678
FAM160A1,4,152330368,152584784
IPPKP1,13,21677142,21678510
FBXW4,10,103370423,103455110
C5orf51,5,41904290,41921738
CBFA2T2,20,32077881,32237842
CDKL4,2,39402787,39456729
ABCA1,9,107543283,107690518
IFI27L1,14,94547628,94570192
CD7,17,80272744,80275478
ANXA2P1,4,154228944,154229869
ANKRD49,11,94226795,94232749
TSFM,12,58176372,58201854
SCAMP3,1,155225770,155232221
GTF2H4,6,30875961,30881883
ZNF76,6,35226686,35263762
ESRRAP2,13,21834171,21835719
POC1B-GALNT4,12,89913185,89920039
LINC00539,13,21872278,21878694
ERCC6L2,9,98637983,98776842
MIPEPP3,13,21872398,21880512
GALNT4,12,89913185,89918583
LINC00422,13,21877651,21922860
ATP2B1,12,89981828,90103077
GTF2H5,6,158589384,158615020
TULP4,6,158733692,158932860
DOK6,18,67068291,67516323
GTF2H4,HSCHR6_MHC_MANN,30920643,30926565
SECTM1,17,80278900,80291950
GRK6P1,13,21893231,21895005
GTPBP6,X,220013,230886
NUDT16L1,16,4743695,4745860
AVIL,12,58191159,58212487
GAPDHP52,13,21932512,21933453
MAP4K3,2,39476407,39664453
TEX19,17,80317123,80321652
PET112,4,152591656,152682175
UTS2R,17,80332153,80333462
SNX32,11,65601112,65624367
OGFOD3,17,80347099,80376513
DNAJC1,10,22045466,22292698
TMPRSS5,11,113558272,113577095
MTMR3,22,30279144,30426855
PPP1R11,HSCHR6_MHC_QBL,30024068,30027692
FGF8,10,103530081,103535827
FAM45A,10,120863598,120897496
RNF39,HSCHR6_MHC_QBL,30027629,30033205
ATAT1,HSCHR6_MHC_SSTO,30586040,30606022
TMEM181,6,158957468,159056460
CLK2,1,155232659,155248282
MTND6P17,4,156373678,156374196
MTND5P9,4,156374201,156375955
MTND4P8,4,156376202,156377563
MTND3P3,4,156377790,156378133
PDE4A,19,10527449,10580305
CTDSP2,12,58213710,58240522
IFI27,14,94571182,94583033
ATXN2L,16,28834356,28848558
MUS81,11,65624597,65635124
CD226,18,67498394,67629039
HCN3,1,155247374,155259639
PIWIL4,11,94277006,94354587
DYNLT1,6,159057506,159065771
PPP2R3B,X,294698,347690
DAK,11,61100682,61120767
HEXDC,17,80376194,80400521
KLHL7,7,23145353,23215040
ANKS3,16,4746513,4784379
XAB2,19,7684411,7694451
CCER1,12,91299399,91348953
EPYC,12,91357456,91398803
ZDHHC20-IT1,13,21951116,21952013
HIST1H2BPS3,13,22057973,22058313
FNTAP2,13,22104829,22105462
KERA,12,91444268,91451760
NECAB3,20,32244893,32262269
LUM,12,91496406,91505608
HLA-A,HSCHR6_MHC_COX,29898587,29903209
WDR66,12,122355768,122441833
NPM3,10,103541082,103543170
PKLR,1,155259630,155271225
EFEMP2,11,65633912,65641063
SYTL3,6,159071046,159185908
FUT4,11,94277017,94283063
FDPS,1,155278539,155290457
AMOTL1,11,94439597,94609918
FBXO4,5,41925356,41941845
IFI27L2,14,94594116,94596590
MTND2P33,4,156382785,156383815
MTND1P22,4,156384025,156384975
FTH1P21,4,156927630,156928140
XRCC6BP1,12,58335324,58351052
BCL7A,12,122457328,122499948
PPP4R4,14,94612465,94746072
DCN,12,91539025,91576900
MGEA5,10,103544200,103578696
CCDC88A,2,55514978,55647057
DEF6,6,35265595,35289548
PET100,19,7694623,7696842
RPS7P10,13,22202552,22203154
LINC00424,13,22446909,22450817
NME1P1,13,22673302,22673683
RTTN,18,67671029,67873181
C17orf62,17,80400465,80408705
WNT5B,12,1639057,1756409
VARS2,6,30876019,30894236
LY6G5B,HSCHR6_MHC_DBB,31620339,31623736
GOLPH3,5,32124810,32174456
TRIM31,HSCHR6_MHC_QBL,30060243,30070446
NUDT19P5,4,159103977,159104545
COMMD3,10,22604903,22609235
CHL1,3,238279,451090
LY6G5C,HSCHR6_MHC_DBB,31626644,31634001
LRIG3,12,59265931,59314303
ABHD16A,HSCHR6_MHC_DBB,31636901,31653368
FBXW7,4,153242410,153456172
RUSC1,1,155290687,155300905
EZR,6,159186773,159240444
FBXL14,12,1675159,1703331
PAX5,9,36833272,37034103
MTND3P1,13,22687258,22687477
FTH1P7,13,23270162,23270713
SERPINA10,14,94749650,94759608
DDX39AP1,13,23278878,23280345
PPARD,6,35310335,35395968
RPL7AP73,13,23377435,23377787
IPMKP1,13,23411165,23412019
RFESDP1,13,23424240,23424700
LINC00621,13,23468795,23490508
BASP1P1,13,23471480,23472144
NUS1P2,13,23489790,23490662
SERPINA6,14,94770585,94789731
HMGA1P6,13,23708313,23709394
LINC00362,13,23743974,23744736
TATDN2P3,13,23817659,23821323
CYBASC3,11,61116226,61129771
SHOX,X,585079,620146
GHR,5,42423879,42721979
C16orf71,16,4784273,4799397
FABP5P12,4,159947291,159947679
SDAD1P4,13,23841645,23843289
ADIPOR2,12,1797740,1897844
RPLP1P13,13,23947562,23948200
SACS-AS1,13,23993110,24002818
TRIM40,HSCHR6_MHC_QBL,30093435,30106063
LINC00327,13,24040710,24061603
LINC00352,13,24072935,24077013
ZW10,11,113603909,113644533
MTCO3P2,13,24340073,24340243
SERPINA1,14,94843084,94857030
CRLF2,X,1314890,1331616
ASH1L,1,155305059,155532598
SFXN4,10,120900279,120925179
C1QTNF9B-AS1,13,24463028,24471402
RPS14P7,4,161739574,161740021
ANKRD20A19P,13,24513696,24520921
TOMM22P4,4,163442834,163443193
C6orf99,6,159290954,159331385
CSF2RA,X,1387693,1429274
KEAP1,19,10596796,10614417
RSPH3,6,159397312,159421219
CACNA2D4,12,1901123,2028002
NARF,17,80416056,80446143
TAGAP,6,159455500,159466184
C2CD4C,19,405445,409139
CTSW,11,65647280,65651212
TMEM154,4,153539784,153601317
GOLGA4,3,37284668,37408242
ZNF500,16,4798240,4817625
FIBP,11,65651212,65656010
SLC16A7,12,59989848,60176395
TIGD4,4,153690506,153700916
ARFIP1,4,153701089,153839615
IPO7P2,13,24696204,24697953
SPATA13-AS1,13,24826887,24828577
C1QTNF9-AS1,13,24889863,24895736
NUS1P3,13,24902349,24903210
HORMAD2,22,30476163,30573064
TMEM138,11,61129473,61136683
TRIM10,HSCHR6_MHC_QBL,30109273,30118261
SEPT12,16,4827670,4838522
BTG1,12,92536286,92539673
CYCSP33,13,24974841,24975167
MSTO1,1,155579979,155718153
TRIM15,HSCHR6_MHC_QBL,30120533,30130023
CCDC152,5,42756903,42802462
PSPC1P2,13,25140981,25144866
TPTE2P6,13,25141011,25171814
CNTN6,3,1134260,1445901
KCNIP2,10,103585731,103603677
LIF,22,30636436,30642840
CLDN25,11,113650469,113651222
RPL26P34,13,25278476,25278926
IRX1P1,13,25316815,25320322
TRIM26,HSCHR6_MHC_QBL,30141750,30170728
ANKRD20A10P,13,25324795,25326309
USP28,11,113668596,113746292
SERPINA11,14,94908801,94919127
OSM,22,30658818,30662829
SERPINA9,14,94929054,94946026
TPTE2P1,13,25498815,25542625
RPL35AP12,4,164303331,164303668
ANP32C,4,165118159,165118863
CLLU1OS,12,92813870,92821924
LINC00357,13,25511014,25512491
CLLU1,12,92815307,92824778
GATSL3,22,30681106,30685616
C12orf74,12,93096619,93102325
FANCE,6,35420138,35434880
C6orf136,HSCHR6_MHC_MCF,30693277,30699447
PLEKHG7,12,93115281,93166231
SFTA2,6,30899130,30899952
YY1AP1,1,155629237,155658791
FHDC1,4,153857504,153900848
RPL10A,6,35436185,35438562
ZCCHC7,9,37120536,37358146
DPCR1,6,30908749,30921998
C6orf136,HSCHR6_MHC_SSTO,30606238,30612400
SLC25A15P3,13,25517713,25518636
TRIM2,4,154073494,154260472
RPL34P27,13,25562715,25563063
TRIM60P14,4,165836717,165838135
FAM218BP,4,165850646,165851103
C20orf144,20,32250090,32251720
SEPP1,5,42799982,42887494
BMI1,10,22605381,22620413
RPL23AP69,13,25780187,25780644
ACTL10,20,32254304,32256331
FNDC1,6,159590429,159693141
TCEB2P1,13,25939937,25940293
E2F1,20,32263489,32274210
ZNRD1,HSCHR6_MHC_COX,30016578,30022582
EEA1,12,93164413,93323107
LINC00415,13,26626414,26627523
ATP8A2P3,13,26688547,26728313
PXMP4,20,32294512,32308125
MUC21,6,30951495,30957680
S1PR5,19,10623623,10628607
LY6G6F,HSCHR6_MHC_DBB,31656815,31667754
MUC22,6,30978251,31003179
FAM19A2,12,62102040,62672931
PRUNEP1,13,26691686,26693102
NACA3P,4,165864442,165865089
PRKRIRP6,13,26808350,26811266
ROGDI,16,4846969,4852951
NUPL2,7,23221446,23240630
RPS3AP44,13,27151023,27151812
WASF3-AS1,13,27180681,27215501
TRIM39,HSCHR6_MHC_QBL,30283753,30304091
FOXK2,17,80477589,80602538
FGFR1OP2P1,13,27479499,27479998
CCDC85B,11,65657875,65659105
TEAD3,6,35441374,35464853
FOSL1,11,65659490,65668044
TMEM216,11,61159159,61166335
RPS21P8,13,27551680,27551926
ZNF341,20,32319463,32380075
SHC2,19,416583,460996
WDR45L,17,80572438,80606429
CD72,9,35609530,35646807
TUFM,16,28853732,28857729
ATG4D,19,10654571,10664094
DHX16,HSCHR6_MHC_MCF,30699357,30719302
C6orf15,6,31079000,31080336
PSORS1C1,6,31082527,31107869
PRDX3,10,120927215,120938345
GK3P,4,166198944,166201175
HADHAP1,4,166325219,166327502
RPS20P32,13,27591688,27592046
SCGB1D5P,4,166438407,166438653
USP12-AS1,13,27736992,27743272
USP12-AS2,13,27746396,27757135
SERPINA12,14,94953611,94984181
NPM1P4,13,28270530,28271341
RAB40B,17,80612849,80656604
TULP1,6,35465651,35480715
PDX1-AS1,13,28403906,28495541
LINC00543,13,28527663,28529507
SERPINA4,14,95027428,95036250
TBC1D10A,22,30687979,30723035
PXMP2,12,133264192,133297276
LY6G6E,HSCHR6_MHC_DBB,31662286,31663762
MND1,4,154265801,154336270
DHX16,HSCHR6_MHC_SSTO,30612310,30632260
CNTN4,3,2140497,3099645
DAP3,1,155657751,155708803
ANXA2R,5,43039335,43043272
CDSN,6,31082867,31088223
ZNF131,5,43065278,43192123
SH2B1,16,28857921,28885526
CHCHD2P8,13,28681568,28682014
SERPINA5,14,95027779,95059457
PAN3-AS1,13,28710980,28712330
IL3RA,X,1455509,1501578
LY6G6D,HSCHR6_MHC_DBB,31665306,31667754
C6orf25,HSCHR6_MHC_DBB,31668544,31676660
SOCS6,18,67956137,67997436
FN3KRP,17,80674559,80688204
EEF1A1P3,13,28788650,28790034
PSORS1C2,6,31105313,31107127
EIF4A1P7,13,29172970,29174189
CYP51P2,13,29296523,29298158
POM121L13P,13,29352695,29353074
MTUS2-AS2,13,29813516,29824691
PGAM5,12,133287405,133299228
PHBP14,4,168569581,168569947
C11orf68,11,65684279,65686588
CCHCR1,6,31110216,31126015
BTF3L4P4,4,169519391,169519908
GAPDHP69,13,29880915,29881922
RPL9P16,4,169676967,169677533
PPP1R11,HSCHR6_MHC_COX,30024382,30028006
RPL6P12,4,170087423,170088268
DRAP1,11,65686728,65689032
MTUS2-AS1,13,30050652,30061887
CBLN2,18,70203915,70305756
PTGES3P3,4,170712371,170712853
FN3K,17,80693451,80709073
GPNMB,7,23275586,23314727
APOBEC3AP1,4,171020969,171021255
RPP21,HSCHR6_MHC_QBL,30302412,30304165
TIMM8BP1,13,30440096,30440306
SPAG6,10,22634399,22743153
LINC00297,13,30446750,30462542
GON4L,1,155719508,155829191
LINC00572,13,30492784,30500788
LINC00365,13,30677315,30683012
CHMP4B,20,32399110,32442172
NUDT4,12,93771659,93797024
PRDX2P1,13,30870284,30870872
LINC00427,13,30890497,30894040
RNF39,HSCHR6_MHC_COX,30027939,30033560
SLC25A6,X,1505045,1511626
LY6G6C,HSCHR6_MHC_DBB,31668598,31671795
PPP1R18,HSCHR6_MHC_MCF,30722654,30734160
KRI1,19,10663761,10676713
SART1,11,65729160,65747299
HSP90AA6P,4,171502621,171526601
RALY,20,32581452,32696114
TRIM31,HSCHR6_MHC_COX,30060592,30070807
FKBP5,6,35541362,35696360
UBE2N,12,93799449,93836038
DDAH2,HSCHR6_MHC_DBB,31676987,31680566
GRK5,10,120967101,121215131
TBCD,17,80709940,80900724
HTR3B,11,113775399,113817287
KIAA0922,4,154387498,154557863
NETO1,18,70409549,70535381
ATP2A1,16,28889726,28915830
ANKLE2,12,133302254,133338474
SFTA2,HSCHR6_MHC_MANN,30943814,30944636
MYO1C,17,1367392,1396106
PPP1R18,HSCHR6_MHC_SSTO,30635612,30638612
LINC00426,13,30914407,30951282
HLA-E,HSCHR6_MHC_QBL,30446762,30451500
SF3A1,22,30727979,30752936
C3orf35,3,37427760,37476988
GLYR1,16,4853204,4897343
C6orf15,HSCHR6_MHC_MANN,31123949,31125285
NRM,HSCHR6_MHC_MCF,30734312,30737685
HTR3A,11,113845603,113861035
UBE2L5P,13,31002084,31002656
RBM22P2,13,31113734,31117598
MFAP1P1,13,31115780,31117034
ASMTL,X,1522032,1572655
PSORS1C1,HSCHR6_MHC_MANN,31127487,31152786
MRPL42,12,93861264,93897545
MDC1,HSCHR6_MHC_SSTO,30659033,30677115
SYT11,1,155829300,155854990
PTPN2P2,13,31127807,31128830
